key,model,horizon,origin,target,n_train,actual,predicted,error
google,ar1,1,2023-07,2023-08,6,-1.4307461236907244,-1.1400391401482466,-0.2907069835424778
google,naive,1,2023-08,2023-09,7,-1.4434527749598391,-1.4307461236907244,-0.012706651269114744
google,mean,1,2023-08,2023-09,7,-1.4434527749598391,-1.1792477805409471,-0.264204994418892
google,drift,1,2023-08,2023-09,7,-1.4434527749598391,-1.442420860457591,-0.0010319145022481546
google,ses,1,2023-08,2023-09,7,-1.4434527749598391,-1.245329737879887,-0.19812303707995205
google,holt_damped,1,2023-08,2023-09,7,-1.4434527749598391,-1.2317365246517458,-0.21171625030809338
google,loglinear,1,2023-08,2023-09,7,-1.4434527749598391,-1.2584461805898615,-0.18500659436997768
google,ar1,1,2023-08,2023-09,7,-1.4434527749598391,-1.1553266301777907,-0.28812614478204845
google,naive,1,2023-09,2023-10,8,-1.3973441973064755,-1.4434527749598391,0.046108577653363625
google,mean,1,2023-09,2023-10,8,-1.3973441973064755,-1.2122734048433086,-0.18507079246316693
google,drift,1,2023-09,2023-10,8,-1.3973441973064755,-1.4552565010394867,0.05791230373301115
google,ses,1,2023-09,2023-10,8,-1.3973441973064755,-1.392294311028078,-0.00504988627839742
google,holt_damped,1,2023-09,2023-10,8,-1.3973441973064755,-1.400742774807714,0.003398577501238398
google,loglinear,1,2023-09,2023-10,8,-1.3973441973064755,-1.3628793599948237,-0.03446483731165184
google,ar1,1,2023-09,2023-10,8,-1.3973441973064755,-1.2634491841598552,-0.13389501314662033
google,naive,1,2023-10,2023-11,9,-1.9993988340062996,-1.3973441973064755,-0.6020546366998241
google,mean,1,2023-10,2023-11,9,-1.9993988340062996,-1.2328368262281049,-0.7665620077781947
google,drift,1,2023-10,2023-11,9,-1.9993988340062996,-1.402713222971344,-0.5966856110349557
google,ses,1,2023-10,2023-11,9,-1.9993988340062996,-1.3953242427951165,-0.6040745912111831
google,holt_damped,1,2023-10,2023-11,9,-1.9993988340062996,-1.4042411917924242,-0.5951576422138753
google,loglinear,1,2023-10,2023-11,9,-1.9993988340062996,-1.4097846291547431,-0.5896142048515565
google,ar1,1,2023-10,2023-11,9,-1.9993988340062996,-1.2869875226496388,-0.7124113113566608
google,naive,1,2023-11,2023-12,10,-1.4545623322488934,-1.9993988340062996,0.5448365017574062
