company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
microsoft,TypeScript,Programming Language,14,504,0.0278,59,2459,0.024,0.0038,-0.0093,0.0229,0.247,0.6175905523993956,True,0.69443,False,origin,True
microsoft,NoSQL,Database,18,504,0.0357,77,2459,0.0313,0.0044,-0.0107,0.0254,0.218,0.6094217831021361,True,0.69443,False,,False
microsoft,C++,Programming Language,102,504,0.2024,429,2459,0.1745,0.0279,-0.0083,0.0679,0.217,0.13653364117027517,True,0.22519,False,,False
microsoft,Docker,DevOps / Infrastructure,26,504,0.0516,112,2459,0.0455,0.006,-0.0124,0.0302,0.198,0.5577170575347972,True,0.64982,False,,False
microsoft,TensorFlow,ML / AI,40,504,0.0794,172,2459,0.0699,0.0094,-0.0138,0.0379,0.194,0.45487380678062944,True,0.57197,False,,False
microsoft,Hadoop,Data Engineering,80,504,0.1587,363,2459,0.1476,0.0111,-0.0216,0.0481,0.109,0.524028738800521,True,0.62785,False,,False
microsoft,Node.js,Web / Frontend,4,504,0.0079,20,2459,0.0081,-0.0002,-0.0067,0.0124,0.097,0.9641697595786638,True,0.97182,False,,False
microsoft,Flask,Web / Frontend,0,504,0.0,2,2459,0.0008,-0.0008,-0.003,0.0068,-0.038,0.5218682065197318,False,0.62785,False,,False
microsoft,Confluence,Office / Productivity,1,504,0.002,7,2459,0.0028,-0.0009,-0.0043,0.0084,-0.038,0.733888159241034,False,0.77028,False,,False
microsoft,Databricks,Cloud Platform,67,504,0.1329,354,2459,0.144,-0.011,-0.0415,0.024,-0.109,0.5184180380327899,True,0.62785,False,,False
microsoft,Linux,OS / Shell,25,504,0.0496,148,2459,0.0602,-0.0106,-0.0293,0.0136,-0.258,0.35591975469771114,True,0.48273,False,,False
microsoft,Shell,OS / Shell,4,504,0.0079,30,2459,0.0122,-0.0043,-0.0113,0.0086,-0.477,0.41294665852815565,True,0.53515,False,,False
microsoft,Terraform,DevOps / Infrastructure,5,504,0.0099,37,2459,0.015,-0.0051,-0.0131,0.0086,-0.485,0.37514915834771556,True,0.49117,False,,False
microsoft,MicroStrategy,Analytics / BI,1,504,0.002,10,2459,0.0041,-0.0021,-0.0059,0.0073,-0.523,0.48371917872557685,True,0.60228,False,,False
microsoft,Swift,Programming Language,0,504,0.0,3,2459,0.0012,-0.0012,-0.0036,0.0064,-0.523,0.432721720406722,False,0.54956,False,,False
microsoft,NLTK,ML / AI,0,504,0.0,3,2459,0.0012,-0.0012,-0.0036,0.0064,-0.523,0.432721720406722,False,0.54956,False,,False
microsoft,Python,Programming Language,239,504,0.4742,1701,2459,0.6917,-0.2175,-0.2643,-0.1701,-0.544,8.168730269000153e-21,True,0.0,True,,False
microsoft,SQL,Programming Language,210,504,0.4167,1497,2459,0.6088,-0.1921,-0.2385,-0.1445,-0.546,1.851841107793115e-15,True,0.0,True,,False
microsoft,Tableau,Analytics / BI,29,504,0.0575,214,2459,0.087,-0.0295,-0.0503,-0.0034,-0.578,0.027954883268662006,True,0.05917,False,,False
microsoft,SAS,Analytics / BI,16,504,0.0317,122,2459,0.0496,-0.0179,-0.0331,0.0029,-0.608,0.08289718346614047,True,0.15116,False,,False
microsoft,Git,DevOps / Infrastructure,12,504,0.0238,93,2459,0.0378,-0.014,-0.0271,0.0046,-0.619,0.12117269012510859,True,0.20249,False,,False
microsoft,MATLAB,Programming Language,14,504,0.0278,110,2459,0.0447,-0.017,-0.0312,0.0028,-0.646,0.08331717067292213,True,0.15116,False,,False
microsoft,Kafka,Data Engineering,20,504,0.0397,157,2459,0.0638,-0.0242,-0.0415,-0.0015,-0.657,0.03704495878207886,True,0.07648,False,,False
microsoft,AWS,Cloud Platform,46,504,0.0913,357,2459,0.1452,-0.0539,-0.0804,-0.0226,-0.658,0.0012982247347903136,True,0.00412,True,,False
microsoft,MXNet,ML / AI,0,504,0.0,4,2459,0.0016,-0.0016,-0.0042,0.006,-0.886,0.3649014623905552,False,0.48273,False,,False
microsoft,NLP,ML / AI,0,504,0.0,4,2459,0.0016,-0.0016,-0.0042,0.006,-0.886,0.3649014623905552,False,0.48273,False,,False
microsoft,Ubuntu,OS / Shell,0,504,0.0,4,2459,0.0016,-0.0016,-0.0042,0.006,-0.886,0.3649014623905552,False,0.48273,False,,False
microsoft,GCP,Cloud Platform,23,504,0.0456,227,2459,0.0923,-0.0467,-0.066,-0.0222,-0.991,0.0005932369417021599,True,0.00209,True,,False
microsoft,Go,Programming Language,25,504,0.0496,247,2459,0.1004,-0.0508,-0.071,-0.0256,-0.995,0.0003166213898501716,True,0.00122,True,,False
microsoft,Airflow,Data Engineering,8,504,0.0159,87,2459,0.0354,-0.0195,-0.0307,-0.003,-1.079,0.023533118082452727,True,0.05487,False,,False
microsoft,scikit-learn,ML / AI,14,504,0.0278,149,2459,0.0606,-0.0328,-0.0479,-0.0125,-1.082,0.0032446266421793644,True,0.00958,True,,False
microsoft,R,Programming Language,76,504,0.1508,793,2459,0.3225,-0.1717,-0.2059,-0.1332,-1.09,1.2294769073699996e-14,True,0.0,True,,False
